# harness	differential-sweep/1
# seed	20260817
# reference	historical
# subject	stub-faithful
# sha256.use.jar	80ac8ae433b8345677472019991356950f094f4a104cfbce1f75783a7308788d
# sha256.atenearesearchgroup.uncertainty.jar	53b2a43feb0a0a39844a60278dd80a7d4b975ef324fb05c6db28831e835e59d0
# operations	URealValue.add(value)
# rows	784
# rows.measured	784
# rows.agreement	784
# rows.disagreement	0
# rows.throwClassMismatch	0
# verdict.AGREE	784
index	operation	inputs	historical	ported	verdict	note
74	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(-Infinity,0.0)	UREAL(-Infinity,0.0)	UREAL(-Infinity,0.0)	AGREE	
75	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(1.0,NaN)	UREAL(1.0,NaN)	UREAL(1.0,NaN)	AGREE	
76	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(1.0,Infinity)	UREAL(1.0,Infinity)	UREAL(1.0,Infinity)	AGREE	
77	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(1.0,-1.0)	UREAL(1.0,1.0)	UREAL(1.0,1.0)	AGREE	
78	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(-46.064505,0.782649)	UREAL(-46.064505,0.782649)	UREAL(-46.064505,0.782649)	AGREE	
79	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(28.230986,0.91554)	UREAL(28.230986,0.91554)	UREAL(28.230986,0.91554)	AGREE	
80	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(47.696811,0.395191)	UREAL(47.696811,0.395191)	UREAL(47.696811,0.395191)	AGREE	
81	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(-61.870069,0.428633)	UREAL(-61.870069,0.428633)	UREAL(-61.870069,0.428633)	AGREE	
82	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(-98.361875,0.358527)	UREAL(-98.361875,0.358527)	UREAL(-98.361875,0.358527)	AGREE	
83	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(37.640335,0.974834)	UREAL(37.640335,0.974834)	UREAL(37.640335,0.974834)	AGREE	
84	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(0.0,0.0)	UREAL(1.0,0.0)	UREAL(1.0,0.0)	AGREE	
85	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(0.0,1.0)	UREAL(1.0,1.0)	UREAL(1.0,1.0)	AGREE	
86	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-0.0,0.0)	UREAL(1.0,0.0)	UREAL(1.0,0.0)	AGREE	
87	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(1.0,0.0)	UREAL(2.0,0.0)	UREAL(2.0,0.0)	AGREE	
88	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(1.0,1.0)	UREAL(2.0,1.0)	UREAL(2.0,1.0)	AGREE	
89	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-1.0,0.0)	UREAL(0.0,0.0)	UREAL(0.0,0.0)	AGREE	
90	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-1.0,1.0)	UREAL(0.0,1.0)	UREAL(0.0,1.0)	AGREE	
91	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-1.0,0.5)	UREAL(0.0,0.5)	UREAL(0.0,0.5)	AGREE	
92	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(0.5,0.5)	UREAL(1.5,0.5)	UREAL(1.5,0.5)	AGREE	
93	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-0.5,0.25)	UREAL(0.5,0.25)	UREAL(0.5,0.25)	AGREE	
94	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(2.0,0.0)	UREAL(3.0,0.0)	UREAL(3.0,0.0)	AGREE	
95	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(100.0,0.001)	UREAL(101.0,0.001)	UREAL(101.0,0.001)	AGREE	
96	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-100.0,0.001)	UREAL(-99.0,0.001)	UREAL(-99.0,0.001)	AGREE	
97	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(4.9E-324,0.0)	UREAL(1.0,0.0)	UREAL(1.0,0.0)	AGREE	
98	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(1.7976931348623157E308,0.0)	UREAL(1.7976931348623157E308,0.0)	UREAL(1.7976931348623157E308,0.0)	AGREE	
99	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-1.7976931348623157E308,0.0)	UREAL(-1.7976931348623157E308,0.0)	UREAL(-1.7976931348623157E308,0.0)	AGREE	
100	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(NaN,0.0)	UREAL(NaN,0.0)	UREAL(NaN,0.0)	AGREE	
101	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(Infinity,0.0)	UREAL(Infinity,0.0)	UREAL(Infinity,0.0)	AGREE	
102	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-Infinity,0.0)	UREAL(-Infinity,0.0)	UREAL(-Infinity,0.0)	AGREE	
103	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(1.0,NaN)	UREAL(2.0,NaN)	UREAL(2.0,NaN)	AGREE	
104	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(1.0,Infinity)	UREAL(2.0,Infinity)	UREAL(2.0,Infinity)	AGREE	
105	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(1.0,-1.0)	UREAL(2.0,1.0)	UREAL(2.0,1.0)	AGREE	
106	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-46.064505,0.782649)	UREAL(-45.064505,0.782649)	UREAL(-45.064505,0.782649)	AGREE	
107	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(28.230986,0.91554)	UREAL(29.230986,0.91554)	UREAL(29.230986,0.91554)	AGREE	
108	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(47.696811,0.395191)	UREAL(48.696811,0.395191)	UREAL(48.696811,0.395191)	AGREE	
109	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-61.870069,0.428633)	UREAL(-60.870069,0.428633)	UREAL(-60.870069,0.428633)	AGREE	
110	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(-98.361875,0.358527)	UREAL(-97.361875,0.358527)	UREAL(-97.361875,0.358527)	AGREE	
111	URealValue.add(value)	UREAL(1.0,0.0) | UREAL(37.640335,0.974834)	UREAL(38.640335,0.974834)	UREAL(38.640335,0.974834)	AGREE	
112	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(0.0,0.0)	UREAL(1.0,1.0)	UREAL(1.0,1.0)	AGREE	
113	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(0.0,1.0)	UREAL(1.0,1.4142135623730951)	UREAL(1.0,1.4142135623730951)	AGREE	
114	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-0.0,0.0)	UREAL(1.0,1.0)	UREAL(1.0,1.0)	AGREE	
115	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(1.0,0.0)	UREAL(2.0,1.0)	UREAL(2.0,1.0)	AGREE	
116	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(1.0,1.0)	UREAL(2.0,1.4142135623730951)	UREAL(2.0,1.4142135623730951)	AGREE	
117	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-1.0,0.0)	UREAL(0.0,1.0)	UREAL(0.0,1.0)	AGREE	
118	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-1.0,1.0)	UREAL(0.0,1.4142135623730951)	UREAL(0.0,1.4142135623730951)	AGREE	
119	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-1.0,0.5)	UREAL(0.0,1.118033988749895)	UREAL(0.0,1.118033988749895)	AGREE	
120	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(0.5,0.5)	UREAL(1.5,1.118033988749895)	UREAL(1.5,1.118033988749895)	AGREE	
121	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-0.5,0.25)	UREAL(0.5,1.0307764064044151)	UREAL(0.5,1.0307764064044151)	AGREE	
122	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(2.0,0.0)	UREAL(3.0,1.0)	UREAL(3.0,1.0)	AGREE	
123	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(100.0,0.001)	UREAL(101.0,1.000000499999875)	UREAL(101.0,1.000000499999875)	AGREE	
124	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-100.0,0.001)	UREAL(-99.0,1.000000499999875)	UREAL(-99.0,1.000000499999875)	AGREE	
125	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(4.9E-324,0.0)	UREAL(1.0,1.0)	UREAL(1.0,1.0)	AGREE	
126	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(1.7976931348623157E308,0.0)	UREAL(1.7976931348623157E308,1.0)	UREAL(1.7976931348623157E308,1.0)	AGREE	
127	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-1.7976931348623157E308,0.0)	UREAL(-1.7976931348623157E308,1.0)	UREAL(-1.7976931348623157E308,1.0)	AGREE	
128	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(NaN,0.0)	UREAL(NaN,1.0)	UREAL(NaN,1.0)	AGREE	
129	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(Infinity,0.0)	UREAL(Infinity,1.0)	UREAL(Infinity,1.0)	AGREE	
130	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-Infinity,0.0)	UREAL(-Infinity,1.0)	UREAL(-Infinity,1.0)	AGREE	
131	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(1.0,NaN)	UREAL(2.0,NaN)	UREAL(2.0,NaN)	AGREE	
132	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(1.0,Infinity)	UREAL(2.0,Infinity)	UREAL(2.0,Infinity)	AGREE	
133	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(1.0,-1.0)	UREAL(2.0,1.4142135623730951)	UREAL(2.0,1.4142135623730951)	AGREE	
134	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-46.064505,0.782649)	UREAL(-45.064505,1.269858046082711)	UREAL(-45.064505,1.269858046082711)	AGREE	
135	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(28.230986,0.91554)	UREAL(29.230986,1.355807320971531)	UREAL(29.230986,1.355807320971531)	AGREE	
136	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(47.696811,0.395191)	UREAL(48.696811,1.0752562143419586)	UREAL(48.696811,1.0752562143419586)	AGREE	
137	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-61.870069,0.428633)	UREAL(-60.870069,1.0879918421978172)	UREAL(-60.870069,1.0879918421978172)	AGREE	
138	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(-98.361875,0.358527)	UREAL(-97.361875,1.0623283907196492)	UREAL(-97.361875,1.0623283907196492)	AGREE	
139	URealValue.add(value)	UREAL(1.0,1.0) | UREAL(37.640335,0.974834)	UREAL(38.640335,1.3965318927815433)	UREAL(38.640335,1.3965318927815433)	AGREE	
140	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(0.0,0.0)	UREAL(-1.0,0.0)	UREAL(-1.0,0.0)	AGREE	
141	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(0.0,1.0)	UREAL(-1.0,1.0)	UREAL(-1.0,1.0)	AGREE	
142	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(-0.0,0.0)	UREAL(-1.0,0.0)	UREAL(-1.0,0.0)	AGREE	
143	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(1.0,0.0)	UREAL(0.0,0.0)	UREAL(0.0,0.0)	AGREE	
144	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(1.0,1.0)	UREAL(0.0,1.0)	UREAL(0.0,1.0)	AGREE	
145	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(-1.0,0.0)	UREAL(-2.0,0.0)	UREAL(-2.0,0.0)	AGREE	
146	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(-1.0,1.0)	UREAL(-2.0,1.0)	UREAL(-2.0,1.0)	AGREE	
147	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(-1.0,0.5)	UREAL(-2.0,0.5)	UREAL(-2.0,0.5)	AGREE	
148	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(0.5,0.5)	UREAL(-0.5,0.5)	UREAL(-0.5,0.5)	AGREE	
149	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(-0.5,0.25)	UREAL(-1.5,0.25)	UREAL(-1.5,0.25)	AGREE	
150	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(2.0,0.0)	UREAL(1.0,0.0)	UREAL(1.0,0.0)	AGREE	
151	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(100.0,0.001)	UREAL(99.0,0.001)	UREAL(99.0,0.001)	AGREE	
152	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(-100.0,0.001)	UREAL(-101.0,0.001)	UREAL(-101.0,0.001)	AGREE	
153	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(4.9E-324,0.0)	UREAL(-1.0,0.0)	UREAL(-1.0,0.0)	AGREE	
154	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(1.7976931348623157E308,0.0)	UREAL(1.7976931348623157E308,0.0)	UREAL(1.7976931348623157E308,0.0)	AGREE	
155	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(-1.7976931348623157E308,0.0)	UREAL(-1.7976931348623157E308,0.0)	UREAL(-1.7976931348623157E308,0.0)	AGREE	
156	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(NaN,0.0)	UREAL(NaN,0.0)	UREAL(NaN,0.0)	AGREE	
157	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(Infinity,0.0)	UREAL(Infinity,0.0)	UREAL(Infinity,0.0)	AGREE	
158	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(-Infinity,0.0)	UREAL(-Infinity,0.0)	UREAL(-Infinity,0.0)	AGREE	
159	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(1.0,NaN)	UREAL(0.0,NaN)	UREAL(0.0,NaN)	AGREE	
160	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(1.0,Infinity)	UREAL(0.0,Infinity)	UREAL(0.0,Infinity)	AGREE	
161	URealValue.add(value)	UREAL(-1.0,0.0) | UREAL(1.0,-1.0)	UREAL(0.0,1.0)	UREAL(0.0,1.0)	AGREE	
