# harness	differential-sweep/1
# seed	20260817
# reference	historical
# subject	stub-faulty-minus
# sha256.use.jar	80ac8ae433b8345677472019991356950f094f4a104cfbce1f75783a7308788d
# sha256.atenearesearchgroup.uncertainty.jar	53b2a43feb0a0a39844a60278dd80a7d4b975ef324fb05c6db28831e835e59d0
# operations	URealValue.minus(value)
# rows	784
# rows.measured	784
# rows.agreement	558
# rows.disagreement	226
# rows.throwClassMismatch	0
# rows.javaTypeMismatch	0
# rows.subjectTypeObserved	0
# rows.subjectTypeAssumed	0
# verdict.AGREE	558
# verdict.DIFFER	226
# op.URealValue.minus(value).rows	784
# op.URealValue.minus(value).measured	784
# op.URealValue.minus(value).agreement	558
# op.URealValue.minus(value).disagreement	226
# op.URealValue.minus(value).javaTypeMismatch	0
# op.URealValue.minus(value).subjectTypeObserved	0
# op.URealValue.minus(value).subjectTypeAssumed	0
# op.URealValue.minus(value).distinctReferenceValues	389
# op.URealValue.minus(value).discriminating	true
# accepted.degenerateOperations	0
index	operation	inputs	historical	ported	verdict	note
79	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(28.230986,0.91554)@URealValue	UREAL(-28.230986,0.91554)@URealValue	UREAL(-28.230986,0.91554)@URealValue	AGREE	
80	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(47.696811,0.395191)@URealValue	UREAL(-47.696811,0.395191)@URealValue	UREAL(-47.696811,0.395191)@URealValue	AGREE	
81	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-61.870069,0.428633)@URealValue	UREAL(61.870069,0.428633)@URealValue	UREAL(61.870069,0.428633)@URealValue	AGREE	
82	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-98.361875,0.358527)@URealValue	UREAL(98.361875,0.358527)@URealValue	UREAL(98.361875,0.358527)@URealValue	AGREE	
83	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(37.640335,0.974834)@URealValue	UREAL(-37.640335,0.974834)@URealValue	UREAL(-37.640335,0.974834)@URealValue	AGREE	
84	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(0.0,0.0)@URealValue	UREAL(1.0,0.0)@URealValue	UREAL(1.0,0.0)@URealValue	AGREE	
85	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(0.0,1.0)@URealValue	UREAL(1.0,1.0)@URealValue	UREAL(1.0,1.0)@URealValue	AGREE	
86	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(-0.0,0.0)@URealValue	UREAL(1.0,0.0)@URealValue	UREAL(1.0,0.0)@URealValue	AGREE	
87	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(1.0,0.0)@URealValue	UREAL(0.0,0.0)@URealValue	UREAL(0.0,0.0)@URealValue	AGREE	
88	URealValue.minus(value)	UREAL(1.0,0.0)@URealValue | UREAL(1.0,1.0)@URealValue	UREAL(0.0,1.0)@URealValue	UREAL(0.0,1.0)@URealValue	AGREE	
